page_unit,domain,risk,title,tags,terms,learning_focus
197,Mental Health Communication,high-review,Page Unit 197: 精神健康與溝通 / Mental Health Communication,therapeutic_communication; mental_health; safety,therapeutic communication; false reassurance; suicidal ideation; reflection; open-ended question,治療性溝通不是日常安慰。遇到自傷他傷風險，直接評估安全；遇到妄想，不爭辯也不強化妄想。
198,Safety and Infection Control,high-review,Page Unit 198: 安全與感染控制 / Safety and Infection Control,safety_infection; cue_recognition,standard precautions; airborne; contact; aspiration; sepsis,安全題先問 harm 來源：跌倒、誤吸、出血、感染傳播、低氧、敗血症或管路損傷。感染控制先問傳播途徑。
199,NGN Case Reasoning,high-review,Page Unit 199: NGN 病例推理 / NGN Case Reasoning,ngn; clinical_judgment; cue_recognition,recognize cues; analyze cues; take action; evaluate outcomes; trend,NGN 長病例要讀成時間線。不要把所有資料看成同等重要，先找變化，再找主要風險，再選行動與評估結果。
200,OSCE Transition,medium-review,Page Unit 200: OSCE 轉換 / OSCE Transition,osce_transition; communication; clinical_judgment,assessment; escalation; handover; reassessment; documentation,"如果能選對但說不出理由，OSCE 仍有風險。每道錯題都要練一句英文：I am concerned about..., I would assess..., I would escalate..."
201,Priority and Delegation,medium-review,Page Unit 201: 優先順序與委派 / Priority and Delegation,prioritization; delegation_scope; safety,priority; first action; unstable client; RN assessment; delegate,這類題的核心不是哪個選項也正確，而是哪個行動最先保護安全。看到 first、priority、new、sudden、worsening，要先找不穩定線索。
202,Question Language,medium-review,Page Unit 202: 題幹語言 / Question Language,english_wording; test_strategy,requires follow-up; further teaching; expected finding; contraindicated; most appropriate,題幹詞控制答題方向。requires follow-up 是找異常或不安全；needs further teaching 是找病人錯誤理解；first 是找最先行動。
203,Pharmacology Safety,high-review,Page Unit 203: 藥理安全 / Pharmacology Safety,pharmacology; knowledge_gap; safety,adverse effect; toxicity; monitor; bleeding risk; patient teaching,藥理題不要只背用途。先問這個藥最怕什麼 harm，需要監測什麼，病人哪句話顯示危險誤解。
204,Maternal-Child Safety,high-review,Page Unit 204: 產兒安全 / Maternal-Child Safety,maternal_safety; cue_recognition; prioritization,heavy lochia; boggy uterus; late decelerations; newborn distress; per protocol,產兒題不是只背週數。先看母體、胎兒或新生兒是否正在失去穩定：出血、胎心、呼吸、血糖、感染與高血壓危象。
205,Mental Health Communication,high-review,Page Unit 205: 精神健康與溝通 / Mental Health Communication,therapeutic_communication; mental_health; safety,therapeutic communication; false reassurance; suicidal ideation; reflection; open-ended question,治療性溝通不是日常安慰。遇到自傷他傷風險，直接評估安全；遇到妄想，不爭辯也不強化妄想。
206,Safety and Infection Control,high-review,Page Unit 206: 安全與感染控制 / Safety and Infection Control,safety_infection; cue_recognition,standard precautions; airborne; contact; aspiration; sepsis,安全題先問 harm 來源：跌倒、誤吸、出血、感染傳播、低氧、敗血症或管路損傷。感染控制先問傳播途徑。
207,NGN Case Reasoning,high-review,Page Unit 207: NGN 病例推理 / NGN Case Reasoning,ngn; clinical_judgment; cue_recognition,recognize cues; analyze cues; take action; evaluate outcomes; trend,NGN 長病例要讀成時間線。不要把所有資料看成同等重要，先找變化，再找主要風險，再選行動與評估結果。
208,OSCE Transition,medium-review,Page Unit 208: OSCE 轉換 / OSCE Transition,osce_transition; communication; clinical_judgment,assessment; escalation; handover; reassessment; documentation,"如果能選對但說不出理由，OSCE 仍有風險。每道錯題都要練一句英文：I am concerned about..., I would assess..., I would escalate..."
209,Priority and Delegation,medium-review,Page Unit 209: 優先順序與委派 / Priority and Delegation,prioritization; delegation_scope; safety,priority; first action; unstable client; RN assessment; delegate,這類題的核心不是哪個選項也正確，而是哪個行動最先保護安全。看到 first、priority、new、sudden、worsening，要先找不穩定線索。
210,Question Language,medium-review,Page Unit 210: 題幹語言 / Question Language,english_wording; test_strategy,requires follow-up; further teaching; expected finding; contraindicated; most appropriate,題幹詞控制答題方向。requires follow-up 是找異常或不安全；needs further teaching 是找病人錯誤理解；first 是找最先行動。
211,Pharmacology Safety,high-review,Page Unit 211: 藥理安全 / Pharmacology Safety,pharmacology; knowledge_gap; safety,adverse effect; toxicity; monitor; bleeding risk; patient teaching,藥理題不要只背用途。先問這個藥最怕什麼 harm，需要監測什麼，病人哪句話顯示危險誤解。
212,Maternal-Child Safety,high-review,Page Unit 212: 產兒安全 / Maternal-Child Safety,maternal_safety; cue_recognition; prioritization,heavy lochia; boggy uterus; late decelerations; newborn distress; per protocol,產兒題不是只背週數。先看母體、胎兒或新生兒是否正在失去穩定：出血、胎心、呼吸、血糖、感染與高血壓危象。
213,Mental Health Communication,high-review,Page Unit 213: 精神健康與溝通 / Mental Health Communication,therapeutic_communication; mental_health; safety,therapeutic communication; false reassurance; suicidal ideation; reflection; open-ended question,治療性溝通不是日常安慰。遇到自傷他傷風險，直接評估安全；遇到妄想，不爭辯也不強化妄想。
214,Safety and Infection Control,high-review,Page Unit 214: 安全與感染控制 / Safety and Infection Control,safety_infection; cue_recognition,standard precautions; airborne; contact; aspiration; sepsis,安全題先問 harm 來源：跌倒、誤吸、出血、感染傳播、低氧、敗血症或管路損傷。感染控制先問傳播途徑。
215,NGN Case Reasoning,high-review,Page Unit 215: NGN 病例推理 / NGN Case Reasoning,ngn; clinical_judgment; cue_recognition,recognize cues; analyze cues; take action; evaluate outcomes; trend,NGN 長病例要讀成時間線。不要把所有資料看成同等重要，先找變化，再找主要風險，再選行動與評估結果。
216,OSCE Transition,medium-review,Page Unit 216: OSCE 轉換 / OSCE Transition,osce_transition; communication; clinical_judgment,assessment; escalation; handover; reassessment; documentation,"如果能選對但說不出理由，OSCE 仍有風險。每道錯題都要練一句英文：I am concerned about..., I would assess..., I would escalate..."
217,Priority and Delegation,medium-review,Page Unit 217: 優先順序與委派 / Priority and Delegation,prioritization; delegation_scope; safety,priority; first action; unstable client; RN assessment; delegate,這類題的核心不是哪個選項也正確，而是哪個行動最先保護安全。看到 first、priority、new、sudden、worsening，要先找不穩定線索。
218,Question Language,medium-review,Page Unit 218: 題幹語言 / Question Language,english_wording; test_strategy,requires follow-up; further teaching; expected finding; contraindicated; most appropriate,題幹詞控制答題方向。requires follow-up 是找異常或不安全；needs further teaching 是找病人錯誤理解；first 是找最先行動。
219,Pharmacology Safety,high-review,Page Unit 219: 藥理安全 / Pharmacology Safety,pharmacology; knowledge_gap; safety,adverse effect; toxicity; monitor; bleeding risk; patient teaching,藥理題不要只背用途。先問這個藥最怕什麼 harm，需要監測什麼，病人哪句話顯示危險誤解。
220,Maternal-Child Safety,high-review,Page Unit 220: 產兒安全 / Maternal-Child Safety,maternal_safety; cue_recognition; prioritization,heavy lochia; boggy uterus; late decelerations; newborn distress; per protocol,產兒題不是只背週數。先看母體、胎兒或新生兒是否正在失去穩定：出血、胎心、呼吸、血糖、感染與高血壓危象。
221,Mental Health Communication,high-review,Page Unit 221: 精神健康與溝通 / Mental Health Communication,therapeutic_communication; mental_health; safety,therapeutic communication; false reassurance; suicidal ideation; reflection; open-ended question,治療性溝通不是日常安慰。遇到自傷他傷風險，直接評估安全；遇到妄想，不爭辯也不強化妄想。
222,Safety and Infection Control,high-review,Page Unit 222: 安全與感染控制 / Safety and Infection Control,safety_infection; cue_recognition,standard precautions; airborne; contact; aspiration; sepsis,安全題先問 harm 來源：跌倒、誤吸、出血、感染傳播、低氧、敗血症或管路損傷。感染控制先問傳播途徑。
223,NGN Case Reasoning,high-review,Page Unit 223: NGN 病例推理 / NGN Case Reasoning,ngn; clinical_judgment; cue_recognition,recognize cues; analyze cues; take action; evaluate outcomes; trend,NGN 長病例要讀成時間線。不要把所有資料看成同等重要，先找變化，再找主要風險，再選行動與評估結果。
224,OSCE Transition,medium-review,Page Unit 224: OSCE 轉換 / OSCE Transition,osce_transition; communication; clinical_judgment,assessment; escalation; handover; reassessment; documentation,"如果能選對但說不出理由，OSCE 仍有風險。每道錯題都要練一句英文：I am concerned about..., I would assess..., I would escalate..."
225,Priority and Delegation,medium-review,Page Unit 225: 優先順序與委派 / Priority and Delegation,prioritization; delegation_scope; safety,priority; first action; unstable client; RN assessment; delegate,這類題的核心不是哪個選項也正確，而是哪個行動最先保護安全。看到 first、priority、new、sudden、worsening，要先找不穩定線索。
226,Question Language,medium-review,Page Unit 226: 題幹語言 / Question Language,english_wording; test_strategy,requires follow-up; further teaching; expected finding; contraindicated; most appropriate,題幹詞控制答題方向。requires follow-up 是找異常或不安全；needs further teaching 是找病人錯誤理解；first 是找最先行動。
227,Pharmacology Safety,high-review,Page Unit 227: 藥理安全 / Pharmacology Safety,pharmacology; knowledge_gap; safety,adverse effect; toxicity; monitor; bleeding risk; patient teaching,藥理題不要只背用途。先問這個藥最怕什麼 harm，需要監測什麼，病人哪句話顯示危險誤解。
228,Maternal-Child Safety,high-review,Page Unit 228: 產兒安全 / Maternal-Child Safety,maternal_safety; cue_recognition; prioritization,heavy lochia; boggy uterus; late decelerations; newborn distress; per protocol,產兒題不是只背週數。先看母體、胎兒或新生兒是否正在失去穩定：出血、胎心、呼吸、血糖、感染與高血壓危象。
229,Mental Health Communication,high-review,Page Unit 229: 精神健康與溝通 / Mental Health Communication,therapeutic_communication; mental_health; safety,therapeutic communication; false reassurance; suicidal ideation; reflection; open-ended question,治療性溝通不是日常安慰。遇到自傷他傷風險，直接評估安全；遇到妄想，不爭辯也不強化妄想。
230,Safety and Infection Control,high-review,Page Unit 230: 安全與感染控制 / Safety and Infection Control,safety_infection; cue_recognition,standard precautions; airborne; contact; aspiration; sepsis,安全題先問 harm 來源：跌倒、誤吸、出血、感染傳播、低氧、敗血症或管路損傷。感染控制先問傳播途徑。
231,NGN Case Reasoning,high-review,Page Unit 231: NGN 病例推理 / NGN Case Reasoning,ngn; clinical_judgment; cue_recognition,recognize cues; analyze cues; take action; evaluate outcomes; trend,NGN 長病例要讀成時間線。不要把所有資料看成同等重要，先找變化，再找主要風險，再選行動與評估結果。
232,OSCE Transition,medium-review,Page Unit 232: OSCE 轉換 / OSCE Transition,osce_transition; communication; clinical_judgment,assessment; escalation; handover; reassessment; documentation,"如果能選對但說不出理由，OSCE 仍有風險。每道錯題都要練一句英文：I am concerned about..., I would assess..., I would escalate..."
233,Priority and Delegation,medium-review,Page Unit 233: 優先順序與委派 / Priority and Delegation,prioritization; delegation_scope; safety,priority; first action; unstable client; RN assessment; delegate,這類題的核心不是哪個選項也正確，而是哪個行動最先保護安全。看到 first、priority、new、sudden、worsening，要先找不穩定線索。
234,Question Language,medium-review,Page Unit 234: 題幹語言 / Question Language,english_wording; test_strategy,requires follow-up; further teaching; expected finding; contraindicated; most appropriate,題幹詞控制答題方向。requires follow-up 是找異常或不安全；needs further teaching 是找病人錯誤理解；first 是找最先行動。
235,Pharmacology Safety,high-review,Page Unit 235: 藥理安全 / Pharmacology Safety,pharmacology; knowledge_gap; safety,adverse effect; toxicity; monitor; bleeding risk; patient teaching,藥理題不要只背用途。先問這個藥最怕什麼 harm，需要監測什麼，病人哪句話顯示危險誤解。
236,Maternal-Child Safety,high-review,Page Unit 236: 產兒安全 / Maternal-Child Safety,maternal_safety; cue_recognition; prioritization,heavy lochia; boggy uterus; late decelerations; newborn distress; per protocol,產兒題不是只背週數。先看母體、胎兒或新生兒是否正在失去穩定：出血、胎心、呼吸、血糖、感染與高血壓危象。
237,Mental Health Communication,high-review,Page Unit 237: 精神健康與溝通 / Mental Health Communication,therapeutic_communication; mental_health; safety,therapeutic communication; false reassurance; suicidal ideation; reflection; open-ended question,治療性溝通不是日常安慰。遇到自傷他傷風險，直接評估安全；遇到妄想，不爭辯也不強化妄想。
238,Safety and Infection Control,high-review,Page Unit 238: 安全與感染控制 / Safety and Infection Control,safety_infection; cue_recognition,standard precautions; airborne; contact; aspiration; sepsis,安全題先問 harm 來源：跌倒、誤吸、出血、感染傳播、低氧、敗血症或管路損傷。感染控制先問傳播途徑。
239,NGN Case Reasoning,high-review,Page Unit 239: NGN 病例推理 / NGN Case Reasoning,ngn; clinical_judgment; cue_recognition,recognize cues; analyze cues; take action; evaluate outcomes; trend,NGN 長病例要讀成時間線。不要把所有資料看成同等重要，先找變化，再找主要風險，再選行動與評估結果。
240,OSCE Transition,medium-review,Page Unit 240: OSCE 轉換 / OSCE Transition,osce_transition; communication; clinical_judgment,assessment; escalation; handover; reassessment; documentation,"如果能選對但說不出理由，OSCE 仍有風險。每道錯題都要練一句英文：I am concerned about..., I would assess..., I would escalate..."
241,Priority and Delegation,medium-review,Page Unit 241: 優先順序與委派 / Priority and Delegation,prioritization; delegation_scope; safety,priority; first action; unstable client; RN assessment; delegate,這類題的核心不是哪個選項也正確，而是哪個行動最先保護安全。看到 first、priority、new、sudden、worsening，要先找不穩定線索。
242,Question Language,medium-review,Page Unit 242: 題幹語言 / Question Language,english_wording; test_strategy,requires follow-up; further teaching; expected finding; contraindicated; most appropriate,題幹詞控制答題方向。requires follow-up 是找異常或不安全；needs further teaching 是找病人錯誤理解；first 是找最先行動。
243,Pharmacology Safety,high-review,Page Unit 243: 藥理安全 / Pharmacology Safety,pharmacology; knowledge_gap; safety,adverse effect; toxicity; monitor; bleeding risk; patient teaching,藥理題不要只背用途。先問這個藥最怕什麼 harm，需要監測什麼，病人哪句話顯示危險誤解。
244,Maternal-Child Safety,high-review,Page Unit 244: 產兒安全 / Maternal-Child Safety,maternal_safety; cue_recognition; prioritization,heavy lochia; boggy uterus; late decelerations; newborn distress; per protocol,產兒題不是只背週數。先看母體、胎兒或新生兒是否正在失去穩定：出血、胎心、呼吸、血糖、感染與高血壓危象。
245,Mental Health Communication,high-review,Page Unit 245: 精神健康與溝通 / Mental Health Communication,therapeutic_communication; mental_health; safety,therapeutic communication; false reassurance; suicidal ideation; reflection; open-ended question,治療性溝通不是日常安慰。遇到自傷他傷風險，直接評估安全；遇到妄想，不爭辯也不強化妄想。
246,Safety and Infection Control,high-review,Page Unit 246: 安全與感染控制 / Safety and Infection Control,safety_infection; cue_recognition,standard precautions; airborne; contact; aspiration; sepsis,安全題先問 harm 來源：跌倒、誤吸、出血、感染傳播、低氧、敗血症或管路損傷。感染控制先問傳播途徑。
247,NGN Case Reasoning,high-review,Page Unit 247: NGN 病例推理 / NGN Case Reasoning,ngn; clinical_judgment; cue_recognition,recognize cues; analyze cues; take action; evaluate outcomes; trend,NGN 長病例要讀成時間線。不要把所有資料看成同等重要，先找變化，再找主要風險，再選行動與評估結果。
248,OSCE Transition,medium-review,Page Unit 248: OSCE 轉換 / OSCE Transition,osce_transition; communication; clinical_judgment,assessment; escalation; handover; reassessment; documentation,"如果能選對但說不出理由，OSCE 仍有風險。每道錯題都要練一句英文：I am concerned about..., I would assess..., I would escalate..."
249,Priority and Delegation,medium-review,Page Unit 249: 優先順序與委派 / Priority and Delegation,prioritization; delegation_scope; safety,priority; first action; unstable client; RN assessment; delegate,這類題的核心不是哪個選項也正確，而是哪個行動最先保護安全。看到 first、priority、new、sudden、worsening，要先找不穩定線索。
250,Question Language,medium-review,Page Unit 250: 題幹語言 / Question Language,english_wording; test_strategy,requires follow-up; further teaching; expected finding; contraindicated; most appropriate,題幹詞控制答題方向。requires follow-up 是找異常或不安全；needs further teaching 是找病人錯誤理解；first 是找最先行動。
251,Pharmacology Safety,high-review,Page Unit 251: 藥理安全 / Pharmacology Safety,pharmacology; knowledge_gap; safety,adverse effect; toxicity; monitor; bleeding risk; patient teaching,藥理題不要只背用途。先問這個藥最怕什麼 harm，需要監測什麼，病人哪句話顯示危險誤解。
252,Maternal-Child Safety,high-review,Page Unit 252: 產兒安全 / Maternal-Child Safety,maternal_safety; cue_recognition; prioritization,heavy lochia; boggy uterus; late decelerations; newborn distress; per protocol,產兒題不是只背週數。先看母體、胎兒或新生兒是否正在失去穩定：出血、胎心、呼吸、血糖、感染與高血壓危象。
253,Mental Health Communication,high-review,Page Unit 253: 精神健康與溝通 / Mental Health Communication,therapeutic_communication; mental_health; safety,therapeutic communication; false reassurance; suicidal ideation; reflection; open-ended question,治療性溝通不是日常安慰。遇到自傷他傷風險，直接評估安全；遇到妄想，不爭辯也不強化妄想。
254,Safety and Infection Control,high-review,Page Unit 254: 安全與感染控制 / Safety and Infection Control,safety_infection; cue_recognition,standard precautions; airborne; contact; aspiration; sepsis,安全題先問 harm 來源：跌倒、誤吸、出血、感染傳播、低氧、敗血症或管路損傷。感染控制先問傳播途徑。
255,NGN Case Reasoning,high-review,Page Unit 255: NGN 病例推理 / NGN Case Reasoning,ngn; clinical_judgment; cue_recognition,recognize cues; analyze cues; take action; evaluate outcomes; trend,NGN 長病例要讀成時間線。不要把所有資料看成同等重要，先找變化，再找主要風險，再選行動與評估結果。
256,OSCE Transition,medium-review,Page Unit 256: OSCE 轉換 / OSCE Transition,osce_transition; communication; clinical_judgment,assessment; escalation; handover; reassessment; documentation,"如果能選對但說不出理由，OSCE 仍有風險。每道錯題都要練一句英文：I am concerned about..., I would assess..., I would escalate..."
257,Priority and Delegation,medium-review,Page Unit 257: 優先順序與委派 / Priority and Delegation,prioritization; delegation_scope; safety,priority; first action; unstable client; RN assessment; delegate,這類題的核心不是哪個選項也正確，而是哪個行動最先保護安全。看到 first、priority、new、sudden、worsening，要先找不穩定線索。
258,Question Language,medium-review,Page Unit 258: 題幹語言 / Question Language,english_wording; test_strategy,requires follow-up; further teaching; expected finding; contraindicated; most appropriate,題幹詞控制答題方向。requires follow-up 是找異常或不安全；needs further teaching 是找病人錯誤理解；first 是找最先行動。
259,Pharmacology Safety,high-review,Page Unit 259: 藥理安全 / Pharmacology Safety,pharmacology; knowledge_gap; safety,adverse effect; toxicity; monitor; bleeding risk; patient teaching,藥理題不要只背用途。先問這個藥最怕什麼 harm，需要監測什麼，病人哪句話顯示危險誤解。
260,Maternal-Child Safety,high-review,Page Unit 260: 產兒安全 / Maternal-Child Safety,maternal_safety; cue_recognition; prioritization,heavy lochia; boggy uterus; late decelerations; newborn distress; per protocol,產兒題不是只背週數。先看母體、胎兒或新生兒是否正在失去穩定：出血、胎心、呼吸、血糖、感染與高血壓危象。
261,Mental Health Communication,high-review,Page Unit 261: 精神健康與溝通 / Mental Health Communication,therapeutic_communication; mental_health; safety,therapeutic communication; false reassurance; suicidal ideation; reflection; open-ended question,治療性溝通不是日常安慰。遇到自傷他傷風險，直接評估安全；遇到妄想，不爭辯也不強化妄想。
262,Safety and Infection Control,high-review,Page Unit 262: 安全與感染控制 / Safety and Infection Control,safety_infection; cue_recognition,standard precautions; airborne; contact; aspiration; sepsis,安全題先問 harm 來源：跌倒、誤吸、出血、感染傳播、低氧、敗血症或管路損傷。感染控制先問傳播途徑。
263,NGN Case Reasoning,high-review,Page Unit 263: NGN 病例推理 / NGN Case Reasoning,ngn; clinical_judgment; cue_recognition,recognize cues; analyze cues; take action; evaluate outcomes; trend,NGN 長病例要讀成時間線。不要把所有資料看成同等重要，先找變化，再找主要風險，再選行動與評估結果。
264,OSCE Transition,medium-review,Page Unit 264: OSCE 轉換 / OSCE Transition,osce_transition; communication; clinical_judgment,assessment; escalation; handover; reassessment; documentation,"如果能選對但說不出理由，OSCE 仍有風險。每道錯題都要練一句英文：I am concerned about..., I would assess..., I would escalate..."
265,Priority and Delegation,medium-review,Page Unit 265: 優先順序與委派 / Priority and Delegation,prioritization; delegation_scope; safety,priority; first action; unstable client; RN assessment; delegate,這類題的核心不是哪個選項也正確，而是哪個行動最先保護安全。看到 first、priority、new、sudden、worsening，要先找不穩定線索。
266,Question Language,medium-review,Page Unit 266: 題幹語言 / Question Language,english_wording; test_strategy,requires follow-up; further teaching; expected finding; contraindicated; most appropriate,題幹詞控制答題方向。requires follow-up 是找異常或不安全；needs further teaching 是找病人錯誤理解；first 是找最先行動。
267,Pharmacology Safety,high-review,Page Unit 267: 藥理安全 / Pharmacology Safety,pharmacology; knowledge_gap; safety,adverse effect; toxicity; monitor; bleeding risk; patient teaching,藥理題不要只背用途。先問這個藥最怕什麼 harm，需要監測什麼，病人哪句話顯示危險誤解。
268,Maternal-Child Safety,high-review,Page Unit 268: 產兒安全 / Maternal-Child Safety,maternal_safety; cue_recognition; prioritization,heavy lochia; boggy uterus; late decelerations; newborn distress; per protocol,產兒題不是只背週數。先看母體、胎兒或新生兒是否正在失去穩定：出血、胎心、呼吸、血糖、感染與高血壓危象。
269,Mental Health Communication,high-review,Page Unit 269: 精神健康與溝通 / Mental Health Communication,therapeutic_communication; mental_health; safety,therapeutic communication; false reassurance; suicidal ideation; reflection; open-ended question,治療性溝通不是日常安慰。遇到自傷他傷風險，直接評估安全；遇到妄想，不爭辯也不強化妄想。
270,Safety and Infection Control,high-review,Page Unit 270: 安全與感染控制 / Safety and Infection Control,safety_infection; cue_recognition,standard precautions; airborne; contact; aspiration; sepsis,安全題先問 harm 來源：跌倒、誤吸、出血、感染傳播、低氧、敗血症或管路損傷。感染控制先問傳播途徑。
271,NGN Case Reasoning,high-review,Page Unit 271: NGN 病例推理 / NGN Case Reasoning,ngn; clinical_judgment; cue_recognition,recognize cues; analyze cues; take action; evaluate outcomes; trend,NGN 長病例要讀成時間線。不要把所有資料看成同等重要，先找變化，再找主要風險，再選行動與評估結果。
272,OSCE Transition,medium-review,Page Unit 272: OSCE 轉換 / OSCE Transition,osce_transition; communication; clinical_judgment,assessment; escalation; handover; reassessment; documentation,"如果能選對但說不出理由，OSCE 仍有風險。每道錯題都要練一句英文：I am concerned about..., I would assess..., I would escalate..."
273,Priority and Delegation,medium-review,Page Unit 273: 優先順序與委派 / Priority and Delegation,prioritization; delegation_scope; safety,priority; first action; unstable client; RN assessment; delegate,這類題的核心不是哪個選項也正確，而是哪個行動最先保護安全。看到 first、priority、new、sudden、worsening，要先找不穩定線索。
274,Question Language,medium-review,Page Unit 274: 題幹語言 / Question Language,english_wording; test_strategy,requires follow-up; further teaching; expected finding; contraindicated; most appropriate,題幹詞控制答題方向。requires follow-up 是找異常或不安全；needs further teaching 是找病人錯誤理解；first 是找最先行動。
275,Pharmacology Safety,high-review,Page Unit 275: 藥理安全 / Pharmacology Safety,pharmacology; knowledge_gap; safety,adverse effect; toxicity; monitor; bleeding risk; patient teaching,藥理題不要只背用途。先問這個藥最怕什麼 harm，需要監測什麼，病人哪句話顯示危險誤解。
276,Maternal-Child Safety,high-review,Page Unit 276: 產兒安全 / Maternal-Child Safety,maternal_safety; cue_recognition; prioritization,heavy lochia; boggy uterus; late decelerations; newborn distress; per protocol,產兒題不是只背週數。先看母體、胎兒或新生兒是否正在失去穩定：出血、胎心、呼吸、血糖、感染與高血壓危象。
277,Mental Health Communication,high-review,Page Unit 277: 精神健康與溝通 / Mental Health Communication,therapeutic_communication; mental_health; safety,therapeutic communication; false reassurance; suicidal ideation; reflection; open-ended question,治療性溝通不是日常安慰。遇到自傷他傷風險，直接評估安全；遇到妄想，不爭辯也不強化妄想。
278,Safety and Infection Control,high-review,Page Unit 278: 安全與感染控制 / Safety and Infection Control,safety_infection; cue_recognition,standard precautions; airborne; contact; aspiration; sepsis,安全題先問 harm 來源：跌倒、誤吸、出血、感染傳播、低氧、敗血症或管路損傷。感染控制先問傳播途徑。
279,NGN Case Reasoning,high-review,Page Unit 279: NGN 病例推理 / NGN Case Reasoning,ngn; clinical_judgment; cue_recognition,recognize cues; analyze cues; take action; evaluate outcomes; trend,NGN 長病例要讀成時間線。不要把所有資料看成同等重要，先找變化，再找主要風險，再選行動與評估結果。
280,OSCE Transition,medium-review,Page Unit 280: OSCE 轉換 / OSCE Transition,osce_transition; communication; clinical_judgment,assessment; escalation; handover; reassessment; documentation,"如果能選對但說不出理由，OSCE 仍有風險。每道錯題都要練一句英文：I am concerned about..., I would assess..., I would escalate..."
281,Priority and Delegation,medium-review,Page Unit 281: 優先順序與委派 / Priority and Delegation,prioritization; delegation_scope; safety,priority; first action; unstable client; RN assessment; delegate,這類題的核心不是哪個選項也正確，而是哪個行動最先保護安全。看到 first、priority、new、sudden、worsening，要先找不穩定線索。
282,Question Language,medium-review,Page Unit 282: 題幹語言 / Question Language,english_wording; test_strategy,requires follow-up; further teaching; expected finding; contraindicated; most appropriate,題幹詞控制答題方向。requires follow-up 是找異常或不安全；needs further teaching 是找病人錯誤理解；first 是找最先行動。
283,Pharmacology Safety,high-review,Page Unit 283: 藥理安全 / Pharmacology Safety,pharmacology; knowledge_gap; safety,adverse effect; toxicity; monitor; bleeding risk; patient teaching,藥理題不要只背用途。先問這個藥最怕什麼 harm，需要監測什麼，病人哪句話顯示危險誤解。
284,Maternal-Child Safety,high-review,Page Unit 284: 產兒安全 / Maternal-Child Safety,maternal_safety; cue_recognition; prioritization,heavy lochia; boggy uterus; late decelerations; newborn distress; per protocol,產兒題不是只背週數。先看母體、胎兒或新生兒是否正在失去穩定：出血、胎心、呼吸、血糖、感染與高血壓危象。
285,Mental Health Communication,high-review,Page Unit 285: 精神健康與溝通 / Mental Health Communication,therapeutic_communication; mental_health; safety,therapeutic communication; false reassurance; suicidal ideation; reflection; open-ended question,治療性溝通不是日常安慰。遇到自傷他傷風險，直接評估安全；遇到妄想，不爭辯也不強化妄想。
286,Safety and Infection Control,high-review,Page Unit 286: 安全與感染控制 / Safety and Infection Control,safety_infection; cue_recognition,standard precautions; airborne; contact; aspiration; sepsis,安全題先問 harm 來源：跌倒、誤吸、出血、感染傳播、低氧、敗血症或管路損傷。感染控制先問傳播途徑。
287,NGN Case Reasoning,high-review,Page Unit 287: NGN 病例推理 / NGN Case Reasoning,ngn; clinical_judgment; cue_recognition,recognize cues; analyze cues; take action; evaluate outcomes; trend,NGN 長病例要讀成時間線。不要把所有資料看成同等重要，先找變化，再找主要風險，再選行動與評估結果。
288,OSCE Transition,medium-review,Page Unit 288: OSCE 轉換 / OSCE Transition,osce_transition; communication; clinical_judgment,assessment; escalation; handover; reassessment; documentation,"如果能選對但說不出理由，OSCE 仍有風險。每道錯題都要練一句英文：I am concerned about..., I would assess..., I would escalate..."
289,Priority and Delegation,medium-review,Page Unit 289: 優先順序與委派 / Priority and Delegation,prioritization; delegation_scope; safety,priority; first action; unstable client; RN assessment; delegate,這類題的核心不是哪個選項也正確，而是哪個行動最先保護安全。看到 first、priority、new、sudden、worsening，要先找不穩定線索。
290,Question Language,medium-review,Page Unit 290: 題幹語言 / Question Language,english_wording; test_strategy,requires follow-up; further teaching; expected finding; contraindicated; most appropriate,題幹詞控制答題方向。requires follow-up 是找異常或不安全；needs further teaching 是找病人錯誤理解；first 是找最先行動。
291,Pharmacology Safety,high-review,Page Unit 291: 藥理安全 / Pharmacology Safety,pharmacology; knowledge_gap; safety,adverse effect; toxicity; monitor; bleeding risk; patient teaching,藥理題不要只背用途。先問這個藥最怕什麼 harm，需要監測什麼，病人哪句話顯示危險誤解。
292,Maternal-Child Safety,high-review,Page Unit 292: 產兒安全 / Maternal-Child Safety,maternal_safety; cue_recognition; prioritization,heavy lochia; boggy uterus; late decelerations; newborn distress; per protocol,產兒題不是只背週數。先看母體、胎兒或新生兒是否正在失去穩定：出血、胎心、呼吸、血糖、感染與高血壓危象。
293,Mental Health Communication,high-review,Page Unit 293: 精神健康與溝通 / Mental Health Communication,therapeutic_communication; mental_health; safety,therapeutic communication; false reassurance; suicidal ideation; reflection; open-ended question,治療性溝通不是日常安慰。遇到自傷他傷風險，直接評估安全；遇到妄想，不爭辯也不強化妄想。
294,Safety and Infection Control,high-review,Page Unit 294: 安全與感染控制 / Safety and Infection Control,safety_infection; cue_recognition,standard precautions; airborne; contact; aspiration; sepsis,安全題先問 harm 來源：跌倒、誤吸、出血、感染傳播、低氧、敗血症或管路損傷。感染控制先問傳播途徑。
